"Year","season","Family","catchableTotal_Wt","catchableTotal_Num","Total_Wt","Total_Num","famCatch_Wt","famCatch_Num","famRel_Wt","famRel_Num","famERel_Wt","famERel_Num","famProp","famcatchable_Wt","famcatchable_Num","famcatchable_RelWt","famcatchable_RelNum","famcatchable_ERelWt","famcatchable_ERelNum","famcatchableProp_Wt","famcatchableProp_Num"
1969,"SPRING","POLLOCK",47.92030269037,696.868632931878,967.6,NA,495.7,162,5.50777777777778,1.8,0.0209633764695932,0.00685105303222532,0.512298470442332,3.56618705035971,1.16546762589928,0.0396243005595524,0.0129496402877698,0.000150815658054627,4.92881513109735e-05,0.0744191261353692,0.00167243519197572
1969,"SPRING","HAKE",47.92030269037,696.868632931878,967.6,NA,410.5,977,4.56111111111111,10.8555555555556,0.0173602300600524,0.041317770447433,0.424245556014882,22.5829608091807,144.297353371491,0.250921786768675,1.6033039263499,0.000955043593384958,0.0061024001256657,0.471260813085786,0.207065358594776
1970,"FALL","HERRING",152.428111197201,823.611239578766,1963.3,3563,20.5,177,0.179824561403509,1.55263157894737,0.000625095288915993,0.00539716420186004,0.0104416034228085,3.03108695652174,26.995652173913,0.0265884820747521,0.236803966437834,9.24252769178759e-05,0.000823163658298919,0.0198853540381428,0.0327771779653225
1970,"FALL","MACKEREL",152.428111197201,823.611239578766,1963.3,3563,3.1,18,0.0271929824561404,0.157894736842105,9.45266046653453e-05,0.00054886415612136,0.00157897417613202,0.295238095238095,1.71428571428571,0.00258980785296575,0.0150375939849624,9.00253377765194e-06,5.22727767734629e-05,0.00193690056853186,0.0020814258377077
1970,"FALL","BUTTERFISH",152.428111197201,823.611239578766,1963.3,3563,0,1,0,0.0087719298245614,0,3.04924531178533e-05,0,0,0.730232558139535,0,0.00640554875560996,0,2.22665820441999e-05,0,0.00088662286652743
1970,"FALL","POLLOCK",152.428111197201,823.611239578766,1963.3,3563,302.9,80,2.65701754385965,0.701754385964912,0.00923616404939777,0.00243939624942827,0.154281057403351,3.25698924731183,0.860215053763441,0.0285700811167704,0.00754574608564422,9.93135919290083e-05,2.62300671981534e-05,0.0213673791647144,0.00104444307268487
1970,"FALL","HAKE",152.428111197201,823.611239578766,1963.3,3563,1636.8,3287,14.3578947368421,28.8333333333333,0.0499100472633023,0.100228693398384,0.833698364997708,145.844796898129,793.310854078664,1.2793403236678,6.95886714104091,0.00444716563189904,0.0241899940258779,0.956810366228611,0.963210330257758
1970,"SPRING","HERRING",229.397539132907,838.593245398273,2534.4,3617,9.9,161,0.101020408163265,1.64285714285714,0.000396602836311193,0.00644980370162647,0.00390625,1.96886884875279,33.0241402697882,0.0200904984566612,0.336981023161104,7.88746434080921e-05,0.00132297653512492,0.00858278103677513,0.0393804033731563
1970,"SPRING","MACKEREL",229.397539132907,838.593245398273,2534.4,3617,0,1,0,0.0102040816326531,0,4.00608925566862e-05,0,0,0.0952380952380952,0,0.00097181729834791,0,3.81532310063678e-06,0,0.000113568879502319
1970,"SPRING","BUTTERFISH",229.397539132907,838.593245398273,2534.4,3617,0,1,0,0.0102040816326531,0,4.00608925566862e-05,0,0,0.4337899543379,0,0.00442642810548877,0,1.73780127529004e-05,0,0.000517282910061933
1970,"SPRING","SAND LANCE",229.397539132907,838.593245398273,2534.4,3617,2.3,83,0.023469387755102,0.846938775510204,9.21400528803782e-05,0.00332505408220495,0.000907512626262626,0.501818181818182,18.1090909090909,0.00512059369202226,0.184786641929499,2.01032842648098e-05,0.000725466345208353,0.00218754823488948,0.0215946062151864
1970,"SPRING","POLLOCK",229.397539132907,838.593245398273,2534.4,3617,525,247,5.35714285714286,2.52040816326531,0.0210319685922602,0.00989504046150148,0.207149621212121,5.64516129032258,2.65591397849462,0.0576036866359447,0.0271011630458635,0.000226150199916777,0.000106398284532274,0.0246086392716354,0.0031671063332179
1970,"SPRING","HAKE",229.397539132907,838.593245398273,2534.4,3617,1997.2,3124,20.3795918367347,31.8775510204082,0.0800096146142136,0.125150228347088,0.788036616161616,221.281690812013,784.275072191324,2.25797643685728,8.00280685909514,0.00886474204038191,0.0314187594019439,0.9646210314567,0.935227032288875
1971,"FALL","HERRING",202.416056398272,1881.26141167215,1977,5794,91.8,580,0.7344,4.64,0.00248376623376623,0.0156926406926407,0.0464339908952959,16.5504201680672,118.480158730159,0.132403361344538,0.94784126984127,0.000447792753465022,0.00320563200027486,0.0817643642631925,0.0629791043366207
1971,"FALL","MACKEREL",202.416056398272,1881.26141167215,1977,5794,1,2,0.008,0.016,2.70562770562771e-05,5.41125541125541e-05,0.000505816894284269,0.171428571428571,0.342857142857143,0.00137142857142857,0.00274285714285714,4.63821892393321e-06,9.27643784786642e-06,0.000846911922299632,0.000182248538523094
1971,"FALL","BUTTERFISH",202.416056398272,1881.26141167215,1977,5794,23.8,472,0.1904,3.776,0.000643939393939394,0.0127705627705628,0.0120384420839656,21.1658252427184,419.759223300971,0.169326601941748,3.35807378640777,0.000572668431891733,0.0113571218425587,0.104565940169651,0.223126472853058
1971,"FALL","POLLOCK",202.416056398272,1881.26141167215,1977,5794,561.9,115,4.4952,0.92,0.0152029220779221,0.00311147186147186,0.284218512898331,27.409756097561,5.60975609756098,0.219278048780488,0.0448780487804878,0.000741605955020589,0.000151779115193749,0.135412953820372,0.00298191206323356
1971,"FALL","HAKE",202.416056398272,1881.26141167215,1977,5794,1298.5,4625,10.388,37,0.0351325757575758,0.125135281385281,0.656803237228123,137.118626318497,1337.0694164006,1.09694901054797,10.6965553312048,0.00370991954324937,0.0361761205736094,0.677409829824485,0.710730262208565
1971,"SPRING","HERRING",78.5649643767405,473.97299131067,1382.5,2974,46.2,470,0.401739130434783,4.08695652173913,0.00140350877192982,0.0142781195412774,0.0334177215189873,9.30407582938389,94.2383946247525,0.0809050072120338,0.819464301084805,0.000282648312580964,0.00286286609325594,0.118425253587188,0.198826507738672
1971,"SPRING","MACKEREL",78.5649643767405,473.97299131067,1382.5,2974,0.5,2,0.00434782608695652,0.0173913043478261,1.51894888736994e-05,6.07579554947976e-05,0.000361663652802893,0.0857142857142857,0.342857142857143,0.000745341614906832,0.00298136645962733,2.60391237834847e-06,1.04156495133939e-05,0.00109099884909592,0.000723368523402663
1971,"SPRING","BUTTERFISH",78.5649643767405,473.97299131067,1382.5,2974,0,1,0,0.00869565217391304,0,3.03789777473988e-05,0,0,0.467532467532468,0,0.00406549971767363,0,1.42031584273553e-05,0,0.000986411622821814
1971,"SPRING","SAND LANCE",78.5649643767405,473.97299131067,1382.5,2974,6.9,191,0.06,1.66086956521739,0.000209614946457052,0.00580238474975317,0.00499095840867993,1.42758620689655,39.5172413793103,0.0124137931034483,0.343628185907046,4.33686096118038e-05,0.00120049339650066,0.0181707739349424,0.0833744582577035
1971,"SPRING","POLLOCK",78.5649643767405,473.97299131067,1382.5,2974,681.5,251,5.92608695652174,2.18260869565217,0.0207032733348523,0.0076251234145971,0.492947558770344,33.2439024390244,12.2439024390244,0.289077412513256,0.106468716861082,0.00100991577243182,0.000371957239736444,0.423139025171714,0.0258324897483431
1971,"SPRING","HAKE",78.5649643767405,473.97299131067,1382.5,2974,647.4,2059,5.6295652173913,17.904347826087,0.019667350193666,0.0625503151818941,0.468282097649186,34.5036856157214,327.163063257193,0.30003204883236,2.84489620223646,0.00104818669752325,0.0099388794184611,0.43917394845706,0.690256764109057
1972,"FALL","HERRING",255.184292674748,1908.75268106609,2591.9,7600,51.7,610,0.377372262773723,4.45255474452555,0.00127508527965058,0.0150445265103841,0.0199467572051391,8.63916083916084,112.416583416583,0.0630595681690572,0.820559003040755,0.000213068990610208,0.00277254798265179,0.0338545948444096,0.0588953113369281
